Nombre del archivo,Datos del QR
Sin título-1-01.jpg,https://plataformaeducativa.jalisco.gob.mx/qrec/4269324/uyTGSo
Sin título-1-15.jpg,https://plataformaeducativa.jalisco.gob.mx/qrec/5341766/pHxgRx
Sin título-1-14.jpg,https://plataformaeducativa.jalisco.gob.mx/qrec/4338518/QmLsZN
Sin título-1-16.jpg,https://plataformaeducativa.jalisco.gob.mx/qrec/4391591/LXVRzB
Sin título-1-02.jpg,https://plataformaeducativa.jalisco.gob.mx/qrec/4520618/coSnt1
Sin título-1-03.jpg,https://plataformaeducativa.jalisco.gob.mx/qrec/4422962/lHjw2q
Sin título-1-17.jpg,https://plataformaeducativa.jalisco.gob.mx/qrec/4300517/enbX3Q
Sin título-1-13.jpg,https://plataformaeducativa.jalisco.gob.mx/qrec/4540448/cIBNMR
Sin título-1-07.jpg,https://plataformaeducativa.jalisco.gob.mx/qrec/4734752/wqdlOF
Sin título-1-06.jpg,https://plataformaeducativa.jalisco.gob.mx/qrec/4029191/e4a71E
Sin título-1-12.jpg,https://plataformaeducativa.jalisco.gob.mx/qrec/4441760/6YpMhN
Sin título-1-04.jpg,https://plataformaeducativa.jalisco.gob.mx/qrec/4988360/oW5tKk
Sin título-1-10.jpg,https://plataformaeducativa.jalisco.gob.mx/qrec/4375244/WUyuKQ
Sin título-1-11.jpg,https://plataformaeducativa.jalisco.gob.mx/qrec/5315098/eg7JzC
Sin título-1-05.jpg,https://plataformaeducativa.jalisco.gob.mx/qrec/4734749/lw2yNR
Sin título-1-08.jpg,https://plataformaeducativa.jalisco.gob.mx/qrec/4319027/yFWljz
Sin título-1-20.jpg,https://plataformaeducativa.jalisco.gob.mx/qrec/4123891/n0bLyc
Sin título-1-21.jpg,https://plataformaeducativa.jalisco.gob.mx/qrec/5031402/PLz8W9
Sin título-1-09.jpg,https://plataformaeducativa.jalisco.gob.mx/qrec/4734716/NZiuxv
Sin título-1-23.jpg,https://plataformaeducativa.jalisco.gob.mx/qrec/4425253/0ja5fe
Sin título-1-22.jpg,https://plataformaeducativa.jalisco.gob.mx/qrec/4349137/RfVHCv
Sin título-1-19.jpg,https://plataformaeducativa.jalisco.gob.mx/qrec/4696504/m9zc0w
Sin título-1-18.jpg,https://plataformaeducativa.jalisco.gob.mx/qrec/4381022/Do6eD7
